City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
Sioux Falls(Mitchell) SD,79,52,70,69,49,85,71,59,89,2014
Jonesboro AR,81,46,60,71,72,75,74,65,77,2014
Bowling Green KY,75,29,61,54,70,49,75,26,64,2014
Mankato MN,66,39,57,73,39,58,66,58,83,2014
North Platte NE,75,29,62,67,26,49,84,0,68,2014
Anchorage AK,62,32,68,55,33,74,60,41,68,2014
Honolulu HI,64,26,60,53,49,53,66,50,66,2014
Fairbanks AK,61,23,66,61,32,47,61,33,58,2014
Biloxi-Gulfport MS,66,45,71,64,64,47,75,41,75,2014
Juneau AK,65,0,87,60,47,85,62,0,84,2014
Laredo TX,63,52,46,58,37,52,50,54,80,2014
Denver CO,63,30,51,55,55,53,65,39,59,2014
Colorado Springs-Pueblo CO,63,26,56,62,55,57,75,41,63,2014
Phoenix AZ,69,47,57,58,63,55,68,45,68,2014
Butte-Bozeman MT,59,19,53,64,60,68,71,59,66,2014
Great Falls MT,71,42,74,68,53,75,90,57,75,2014
"Billings, MT",68,21,73,67,60,72,75,44,76,2014
Boise ID,62,37,59,64,70,60,66,49,73,2014
Idaho Falls-Pocatello ID,63,33,68,80,49,67,65,60,92,2014
Cheyenne WY-Scottsbluff NE,69,14,72,63,50,57,70,42,73,2014
Twin Falls ID,63,17,68,76,42,54,61,100,64,2014
Missoula MT,70,36,66,64,60,77,65,45,69,2014
Rapid City SD,61,28,64,70,63,70,76,34,66,2014
El Paso TX,68,62,42,66,42,68,65,61,84,2014
Helena MT,71,30,68,71,69,90,76,58,100,2014
Casper-Riverton WY,62,36,78,64,55,52,77,38,81,2014
Salt Lake City UT,60,37,57,67,65,56,67,44,69,2014
Yuma AZ-El Centro CA,60,54,49,70,44,46,61,51,70,2014
Grand Junction-Montrose CO,71,29,68,60,53,58,58,61,65,2014
Tucson (Sierra Vista) AZ,71,44,55,65,46,67,72,57,82,2014
Albuquerque-Santa Fe NM,68,33,57,64,52,64,65,48,81,2014
Glendive MT,95,0,0,0,0,0,0,0,0,2014
Bakersfield CA,67,37,53,60,36,56,71,45,73,2014
Eugene OR,65,41,66,65,49,68,65,62,71,2014
Eureka CA,58,29,51,68,50,78,64,51,65,2014
Los Angeles CA,63,32,48,54,44,49,58,40,61,2014
Palm Springs CA,72,32,60,51,46,45,65,43,59,2014
San Francisco-Oakland-San Jose CA,61,32,49,51,38,60,53,35,59,2014
Yakima-Pasco-Richland-Kennewick WA,67,34,57,63,48,60,68,57,70,2014
Reno NV,67,24,63,52,47,56,71,38,66,2014
Medford-Klamath Falls OR,70,25,69,65,40,77,69,43,73,2014
Seattle-Tacoma WA,64,23,55,56,50,63,61,34,62,2014
Portland OR,41,21,36,33,29,38,34,24,47,2014
Bend OR,72,37,66,65,52,80,59,37,71,2014
San Diego CA,67,42,51,55,48,60,61,45,65,2014
Monterey-Salinas CA,59,30,53,60,38,68,48,49,61,2014
Las Vegas NV,67,38,53,53,63,51,69,33,63,2014
Santa Barbara-Santa Maria-San Luis Obispo CA,64,21,53,63,39,65,54,44,61,2014
Sacramento-Stockton-Modesto CA,68,38,57,60,48,66,62,46,70,2014
Fresno-Visalia CA,66,38,51,63,53,60,66,52,69,2014
Chico-Redding CA,63,35,69,59,59,67,61,46,74,2014
Spokane WA,68,37,64,67,53,66,62,54,73,2014
