City & State,cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
El Paso TX,43,5,13,43,8,28,7,51,46,2004
Helena MT,36,16,19,52,17,0,36,28,67,2004
Casper-Riverton WY,45,0,17,42,21,27,46,60,37,2004
Salt Lake City UT,42,6,16,39,16,21,14,35,39,2004
Yuma AZ-El Centro CA,36,0,23,45,19,54,0,27,31,2004
Grand Junction-Montrose CO,39,11,8,57,14,26,45,57,28,2004
Tucson (Sierra Vista) AZ,41,5,18,34,15,32,18,24,38,2004
Albuquerque-Santa Fe NM,43,6,13,44,13,30,13,32,45,2004
Glendive MT,43,0,0,0,0,0,0,0,0,2004
Bakersfield CA,38,5,14,58,10,28,20,35,41,2004
Eugene OR,41,9,19,44,15,42,11,39,40,2004
Eureka CA,33,0,13,49,25,49,17,0,23,2004
Los Angeles CA,37,5,15,33,16,25,11,24,30,2004
Palm Springs CA,43,13,14,40,49,55,23,23,13,2004
San Francisco-Oakland-San Jose CA,41,5,15,32,13,28,13,20,31,2004
Yakima-Pasco-Richland-Kennewick WA,44,2,14,37,6,27,9,30,32,2004
Reno NV,38,5,17,32,15,29,8,21,34,2004
Medford-Klamath Falls OR,38,12,19,27,13,35,14,41,28,2004
Seattle-Tacoma WA,42,4,15,39,15,32,13,26,33,2004
Portland OR,38,4,18,40,15,25,14,29,36,2004
Bend OR,53,12,18,48,14,55,12,46,45,2004
San Diego CA,42,5,15,31,14,29,11,22,29,2004
Monterey-Salinas CA,38,4,12,44,11,29,12,26,32,2004
Las Vegas NV,33,4,16,32,16,22,16,17,30,2004
Santa Barbara-Santa Maria-San Luis Obispo CA,35,5,13,40,14,30,9,38,27,2004
Sacramento-Stockton-Modesto CA,40,4,17,41,12,35,13,29,35,2004
Fresno-Visalia CA,34,7,13,48,16,19,5,33,34,2004
Chico-Redding CA,36,4,22,33,16,49,14,41,24,2004
Spokane WA,44,6,17,49,16,34,10,30,46,2004
Portland-Auburn ME,70,16,38,11,27,36,26,14,23,2005
New York NY,63,15,35,10,22,29,23,15,19,2005
Binghamton NY,62,8,44,13,25,21,23,24,18,2005
Macon GA,55,25,48,10,29,33,22,23,22,2005
Philadelphia PA,73,17,39,12,32,33,24,18,23,2005
Detroit MI,66,14,43,11,20,27,22,18,20,2005
Boston MA-Manchester NH,69,16,41,11,36,31,25,15,22,2005
Savannah GA,61,11,50,10,29,17,22,18,25,2005
Pittsburgh PA,74,17,49,13,27,30,17,20,26,2005
Ft. Wayne IN,60,13,43,10,20,32,24,25,20,2005
Cleveland-Akron (Canton) OH,64,15,44,12,22,22,21,15,21,2005
Washington DC (Hagerstown MD),66,15,36,9,21,42,24,17,21,2005
Baltimore MD,69,23,43,11,28,35,24,19,22,2005
Flint-Saginaw-Bay City MI,64,12,41,12,19,25,19,23,19,2005
Buffalo NY,73,12,38,12,24,25,21,25,22,2005
Cincinnati OH,64,13,41,11,25,27,18,19,22,2005
Erie PA,73,14,48,16,20,34,33,30,29,2005
Charlotte NC,58,16,41,10,23,24,29,19,20,2005
Greensboro-High Point-Winston Salem NC,66,16,54,11,26,27,33,24,27,2005
Charleston SC,74,19,45,9,35,31,20,24,27,2005
Augusta GA,67,21,58,12,42,23,19,21,24,2005
Providence RI-New Bedford MA,63,11,45,12,24,30,26,19,21,2005
Columbus GA,56,34,43,15,30,36,24,21,29,2005
Burlington VT-Plattsburgh NY,74,14,45,13,30,31,26,30,24,2005
Atlanta GA,63,17,37,9,28,28,22,16,21,2005
Albany GA,69,20,28,14,28,29,9,17,20,2005
Utica NY,64,42,37,10,20,39,23,29,20,2005
Indianapolis IN,70,18,48,13,22,27,28,25,29,2005
Miami-Ft. Lauderdale FL,54,15,36,8,22,23,21,13,18,2005
Louisville KY,71,21,48,10,36,27,20,20,28,2005
Tallahassee FL-Thomasville GA,65,20,52,11,30,35,18,14,25,2005
Tri-Cities TN-VA,61,15,47,13,20,23,34,18,26,2005
Albany-Schenectady-Troy NY,67,13,53,13,26,27,26,18,21,2005
Hartford & New Haven CT,69,13,45,13,29,35,28,22,24,2005
Orlando-Daytona Beach-Melbourne FL,56,13,44,9,24,17,23,14,18,2005
Columbus OH,66,14,39,12,24,29,30,17,22,2005
Youngstown OH,58,11,33,17,25,17,11,18,32,2005
Bangor ME,77,26,48,19,26,46,25,46,23,2005
Rochester NY,64,13,46,11,18,30,25,19,22,2005
Tampa-St. Petersburg (Sarasota) FL,69,14,45,9,31,24,25,11,19,2005
Traverse City-Cadillac MI,63,15,50,17,7,37,21,28,19,2005
Lexington KY,84,26,44,18,25,32,13,56,29,2005
Dayton OH,60,12,42,11,23,19,27,22,24,2005
Springfield-Holyoke MA,65,10,41,12,28,32,17,19,21,2005
Norfolk-Portsmouth-Newport News VA,53,14,41,9,25,20,18,17,19,2005
Greenville-New Bern-Washington NC,67,18,45,11,20,29,32,35,32,2005
Columbia SC,65,19,36,12,31,22,22,25,29,2005
Toledo OH,65,18,42,13,25,20,29,33,26,2005
West Palm Beach-Ft. Pierce FL,62,15,35,11,30,20,18,8,18,2005
Watertown NY,63,0,50,9,14,53,62,11,26,2005
Wilmington NC,69,12,47,12,36,44,37,25,23,2005
Lansing MI,75,28,37,14,27,44,23,33,24,2005
Presque Isle ME,77,59,95,14,51,54,0,28,22,2005
Marquette MI,58,12,38,13,20,39,25,22,21,2005
Wheeling WV-Steubenville OH,71,35,67,16,26,16,24,13,19,2005
Syracuse NY,71,19,40,14,24,33,23,26,22,2005
Richmond-Petersburg VA,66,15,37,10,21,23,20,20,23,2005
Knoxville TN,61,11,29,11,22,29,31,15,21,2005
Lima OH,53,18,60,11,38,42,25,13,19,2005
Bluefield-Beckley-Oak Hill WV,100,78,63,12,23,24,0,51,25,2005
Raleigh-Durham (Fayetteville) NC,74,16,45,10,26,41,34,22,24,2005
Jacksonville FL,57,12,50,9,31,15,16,16,22,2005
Grand Rapids-Kalamazoo-Battle Creek MI,63,11,45,13,26,24,23,24,22,2005
Charleston-Huntington WV,69,15,59,12,30,17,36,24,27,2005
Elmira NY,66,18,73,10,11,33,49,13,26,2005
Harrisburg-Lancaster-Lebanon-York PA,67,17,43,13,34,29,26,20,22,2005
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63,10,38,11,28,22,24,17,21,2005
Harrisonburg VA,75,11,43,16,26,35,17,36,22,2005
Florence-Myrtle Beach SC,66,31,44,13,30,33,26,17,23,2005
Ft. Myers-Naples FL,71,12,41,9,23,20,14,13,23,2005
Roanoke-Lynchburg VA,62,9,34,12,22,30,21,20,19,2005
Johnstown-Altoona PA,65,17,45,12,22,22,23,34,22,2005
Chattanooga TN,57,16,54,11,23,26,22,18,22,2005
