location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
648,71,19,47,14,17,33,30,26,26,2005
519,74,19,45,9,35,31,20,24,27,2005
564,69,15,59,12,30,17,36,24,27,2005
517,58,16,41,10,23,24,29,19,20,2005
584,63,17,45,11,18,29,31,16,22,2005
575,57,16,54,11,23,26,22,18,22,2005
759,65,15,52,13,22,28,23,22,20,2005
602,64,15,39,11,24,24,24,16,21,2005
868,45,10,45,11,18,13,27,38,19,2005
515,64,13,41,11,25,27,18,19,22,2005
598,76,0,64,9,22,23,25,18,23,2005
510,64,15,44,12,22,22,21,15,21,2005
752,49,11,41,9,17,25,12,18,17,2005
546,65,19,36,12,31,22,22,25,29,2005
604,76,27,43,17,26,29,46,38,27,2005
522,56,34,43,15,30,36,24,21,29,2005
535,66,14,39,12,24,29,30,17,22,2005
673,72,19,28,9,10,27,31,31,19,2005
600,56,15,47,11,30,23,21,27,24,2005
623,57,15,41,9,27,25,24,13,21,2005
682,63,14,48,14,24,26,37,20,25,2005
542,60,12,42,11,23,19,27,22,24,2005
751,59,13,43,10,21,30,27,15,19,2005
679,65,8,43,11,19,28,20,17,23,2005
505,66,14,43,11,20,27,22,18,20,2005
606,64,26,88,11,15,31,57,13,17,2005
676,66,12,40,15,20,28,28,31,21,2005
765,51,17,34,11,16,21,18,26,35,2005
565,66,18,73,10,11,33,49,13,26,2005
516,73,14,48,16,20,34,33,30,29,2005
801,64,26,46,15,26,23,17,28,22,2005
802,53,13,36,15,16,33,18,20,14,2005
649,61,22,41,12,37,22,21,23,26,2005
745,51,21,59,12,12,41,28,13,25,2005
724,77,19,48,14,20,35,14,24,27,2005
513,64,12,41,12,19,25,19,23,19,2005
570,66,31,44,13,30,33,26,17,23,2005
866,54,17,35,13,21,17,27,24,21,2005
571,71,12,41,9,23,20,14,13,23,2005
670,62,11,41,12,21,25,19,27,23,2005
509,60,13,43,10,20,32,24,25,20,2005
592,78,34,53,11,37,37,38,28,29,2005
798,70,0,0,0,0,0,0,0,0,2005
773,52,0,65,15,22,23,37,14,25,2005
563,63,11,45,13,26,24,23,24,22,2005
755,69,22,40,23,19,45,22,12,23,2005
658,56,7,40,14,18,24,17,17,18,2005
518,66,16,54,11,26,27,33,24,27,2005
545,67,18,45,11,20,29,32,35,32,2005
567,63,10,38,11,28,22,24,17,21,2005
647,74,100,81,9,0,90,0,73,44,2005
636,50,25,30,12,27,20,27,29,30,2005
566,67,17,43,13,34,29,26,20,22,2005
569,75,11,43,16,26,35,17,36,22,2005
533,69,13,45,13,29,35,28,22,24,2005
710,63,81,44,15,41,29,31,11,29,2005
766,55,15,52,11,22,32,30,14,21,2005
744,55,8,46,9,19,19,19,21,20,2005
618,68,17,45,9,21,26,26,16,21,2005
691,60,14,46,9,26,26,11,16,23,2005
758,57,16,46,9,19,20,22,28,18,2005
527,70,18,48,13,22,27,28,25,29,2005
718,70,25,53,15,27,22,26,22,29,2005
639,56,17,35,12,27,15,23,16,16,2005
561,57,12,50,9,31,15,16,16,22,2005
574,65,17,45,12,22,22,23,34,22,2005
734,60,25,40,15,44,34,34,30,33,2005
603,48,12,60,8,22,22,33,24,15,2005
747,66,0,32,10,25,31,23,0,22,2005
616,66,18,51,10,24,26,28,19,23,2005
557,61,11,29,11,22,29,31,15,21,2005
702,65,18,45,15,20,31,21,26,20,2005
582,72,35,40,9,11,46,17,38,14,2005
642,43,19,37,11,17,17,19,14,14,2005
643,43,81,100,9,0,74,0,0,36,2005
551,75,28,37,14,27,44,23,33,24,2005
749,50,0,21,6,0,23,34,12,34,2005
